variance_threshold,truncation_level,signature_weight,n_clusters,ARI_standardized,NMI_standardized
0.0,10.0,2.0,9.0,0.4554777718618287,0.6343190577186306
0.0,10.0,2.0,7.0,0.867992787051684,0.7475051622207671
0.0,10.0,2.0,5.0,0.7461633526111249,0.7048936795638541
0.0,10.0,2.0,8.0,0.4683779627635683,0.634098497124558
0.0,10.0,2.0,6.0,0.7314970664960454,0.6832638516121191
0.0,10.0,2.0,15.0,0.3700476439006295,0.6354357361507882
0.0,5.0,3.0,8.0,0.5860251155606329,0.5275667088018974
1e-09,5.0,3.0,9.0,0.4968685566251662,0.4824462013674764
0.0,15.0,2.0,9.0,0.5386067319444507,0.7383466720616909
0.0,15.0,3.0,9.0,0.9496123455966915,0.8693046278567172
